French,English
partie,part
histoire,history
chercher,search
seulement,only
pensais,thought
aide,help
mois,month
laisser,let
car,because
mettre,to put
aucun,no
eux,them
parlé,speak
devrait,should
bébé,baby
heures,hours
vont,will
pendant,while
aucune,any
place,square
parle,speak
compris,understood
savais,knew
étaient,were
attention,Warning
voici,here is
pourrais,could
affaire,case
donner,give
type,type
leurs,their
donné,given
corps,body
endroit,place
yeux,eyes
façon,way
écoute,listen
dont,whose
trouve,find
premier,first
côté,side
pouvoir,power
vieux,old
tiens,here
tellement,so much
enfant,child
point,point
pardon,sorry
venez,come
vers,towards
minutes,minutes
chambre,bedroom
mis,placed
belle,beautiful
droit,law
aimerais,would like to
aujourd'hui,today
mari,husband
enfin,finally
espère,hope
attendez,Wait
parti,left
nouvelle,new
boulot,job
arrêter,Stop
compte,account
donne,given
loin,far
fin,end
chérie,sweetheart
gros,large
plutôt,rather
aura,will have
filles,girls
bureau,office
